uri	plot
http://www.wikidata.org/entity/Q612373	"In the future, the inmates of a private underground prison are computer-controlled with cameras, dream readers, and devices that can cause pain or death. John and his illegally pregnant wife Karen are locked inside ""The Fortress"" but are determined to escape before the birth of their baby."
http://www.wikidata.org/entity/Q2089577	A bashful bachelor penguin named Hubie, who's partial to a pretty female named Marina. Ancient penguin ritual dictates that males present a pebble to their intended, then mate for life. Hubie finds a spiffy stone, but before he can bestow it on Marina, dastardly rival Drake tosses him into the churning sea, and Hubie gets swept away.
http://www.wikidata.org/entity/Q5227053	In 1026, students in western China are shanghaied into the forces of crown prince Li Yuanhao of Xi Xia, who wants to control the length of the Silk Road. One student is Zhao Xingde, who becomes the favorite of his commander, Zhu Wangli. While sacking a fortress, Xingde discovers Tsurpia, princess of the Uighur. He hides her; they fall in love. When he's sent away to study Xixian, he leaves Tsurpia in Zhu's care, but returns to find her engaged to Li. Tragedy follows, and he and Zhu enter a pact to take revenge when Li arrives at Dun-Huang, the region's seat of learning and culture. Against overwhelming odds, they find a surprising way to leave a monument to their life and love.
http://www.wikidata.org/entity/Q9077202	Angela and her young son Guille travel to the big city to see Leo, her father and the boy's grandfather, when he suddenly takes ill. However, they arrive to discover that he has just passed away. Charo, the dead man's lover, explains the dire traits suffered by the paternal business: a hall with seven billiard tables.
http://www.wikidata.org/entity/Q844679	A wild and rollicking martial arts fantasy extravaganza that features prized swords and swordsmen, a crazy monk attached to a rolling boulder, serious clan and cult rivalries, and lots of magic and flying.
http://www.wikidata.org/entity/Q23016495	Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.
http://www.wikidata.org/entity/Q839908	A lawyer becomes a fisherman from frustration. When his one piece of property, his boat, is struck by lightning and destroyed he is denied insurance money because it was “an act of God”. He re-registers as a lawyer and sues the insurance company and, as God’s representative, The Church.
http://www.wikidata.org/entity/Q309086	After capturing the notorious drug lord Franz Sanchez, Bond's close friend and former CIA agent Felix Leiter is left for dead and his wife is murdered. Bond goes rogue and seeks vengeance on those responsible, as he infiltrates Sanchez's organization from the inside.
http://www.wikidata.org/entity/Q2378539	It is August 1941. With the battle line far away in the east, three soldiers who have managed to escape from captivity find it difficult to hide: the territory is occupied by the enemy. The local woods are not safe: you can easily get embogged. Are the villagers loyal? Nobody can say. There is an old man who offers to help them. Is he reliable enough? He may kill them or report them to the local German authorities. Anything may happen, but one of them, the sniper, is his son who is his youngest, his dearest.
http://www.wikidata.org/entity/Q16248494	When a team of explorers ventures into the uncharted maze of bones that lies beneath the streets of Paris, they embark on a journey into madness and terror.
http://www.wikidata.org/entity/Q13101644	Unsuccessful Luxembourg bank robber Johnny Chicago is released from prison and immediately and incompetently attempts to resume his life of crime. In a few days he manages to get his old partner fired and thrown out of the house, his girlfriend arrested and jailed, all the while scheming to rob a bunch of German pensioners, stop a train and make some quick money to make a name for himself.
http://www.wikidata.org/entity/Q1168288	Henri Rainier has everything a man could want. A glamorous wife, two beautiful daughters and a well-paid job with a large bank. Then, one day, his entire world collapses. In the wake of a high-profile financial scandal, he is summoned into his director's office and accused of negligence. Rainier has no choice but to resign, but he soon realises that he has been made a scapegoat. He begins his own investigation in an attempt to clear his name and discover who is responsible for the enormous hole in the bank's finances. It soon becomes apparent that he is up against a very powerful and dangerous opponent.
http://www.wikidata.org/entity/Q7094384	"Nostalgic comedy set in the early 1960s, when the tango was all the rage. The ""prodigal son"" Tenho returns from his unlucky adventures in the city back to his parents' farm. Tenho becomes the laughing stock of local men until he scores the hottest girl in the village. A hot romance flares up between Tenho and the sensuous milkmaid Virva, accompanied by popular Finnish tango tunes."
http://www.wikidata.org/entity/Q3931679	On Christmas night, four estranged friends reunite for a game of poker to rip off a rich businessman—but old grudges get in the way.
http://www.wikidata.org/entity/Q465773	In a run-down South American town, four men are paid to drive trucks loaded with nitroglycerin into the jungle through to the oil field. Friendships are tested and rivalries develop as they embark upon the perilous journey.
http://www.wikidata.org/entity/Q527826	An examination of Austrian psychologist Sigmund Freud's career when he began to treat patients diagnosed with hysteria, using the radical technique of hypnosis.
http://www.wikidata.org/entity/Q1452962	Desperate because of his son's illness, the peasant Eufemio steals a pearl from the image of Santa Lucía in the village church.
http://www.wikidata.org/entity/Q1532392	"In the outwardly respectable New England community of Peyton Place, shopkeeper Constance McKenzie tries to make up for a past indiscretion -- which resulted in her illegitimate daughter Allison  -- by adopting a chaste, prudish attitude towards all things sexual.  In spite of herself, Constance can't help but be attracted to handsome new teacher Michael Rossi. Meanwhile, the restless Allison, who'd like to be as footloose and fancy-free as the town's ""fast girl"" Betty Anderson, falls sincerely in love with mixed-up mama's boy Norman Page."
http://www.wikidata.org/entity/Q3927008	"Filli and the cavemen from ""When Women Had Tails"" are living a carefree life inside a dinosaur skeleton. But when conman Ham introduces them to the concept of currency and economics, their lives fall apart. On top of that, Filli starts to fall in love with Ham."
http://www.wikidata.org/entity/Q3072040	Story of Linda Lovelace, who is used and abused by the porn industry at the behest of her coercive husband, before taking control of her life.
http://www.wikidata.org/entity/Q1866730	When New York attorney Gordon Hocheiser meets Louise Callan, the girl of his dreams, he schemes to eliminate his aging, senile mother, even though he promised his late father that he'd always take care of her. He fears that his batty mom's eccentricities will shortly lead to Louise's departure.
http://www.wikidata.org/entity/Q107940	When an unidentified alien destroys three powerful Klingon cruisers, Captain James T. Kirk returns to the newly transformed U.S.S. Enterprise to take command.
http://www.wikidata.org/entity/Q1475259	"A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. ""This will only take ten minutes"", they say, but it turns out to be one loose end after another, and the ten minutes he is away from his speech become longer and longer."
